FsmIdf;CrdLatDeg;CrdLonDeg
379;40.78370489;-73.9667111
2105;40.78357519;-73.96686107
963;40.78350271;-73.96696096
1934;40.78348364;-73.96692091
2106;40.78333487;-73.96712094
2107;40.78327383;-73.96717101
409;40.78314413;-73.9674409
325;40.7829534;-73.96788102
609;40.78239264;-73.96879106
1970;40.78233542;-73.96885091
304;40.78210272;-73.96935087
2108;40.78214468;-73.96920091
2109;40.7820722;-73.969271
2110;40.78215231;-73.96938091
947;40.78215231;-73.96940094
2111;40.78208365;-73.96938091
1983;40.78210272;-73.96944099
2112;40.78209509;-73.96943098
1425;40.7819425;-73.96948105
1309;40.7820722;-73.96943098
1250;40.78196539;-73.96942097
1208;40.78199209;-73.96939093
241;40.7820455;-73.96940094
103;40.78205313;-73.96940094
2035;40.78205313;-73.96938091
456;40.78189291;-73.96951109
2113;40.7819425;-73.96935087
175;40.78193487;-73.96964103
653;40.78199209;-73.96950107
148;40.78191198;-73.96965104
1674;40.78187384;-73.96970087
2114;40.78177466;-73.9695509
802;40.78185476;-73.96967107
804;40.78177466;-73.96983105
661;40.78170218;-73.97001105
330;40.78171362;-73.96999102
246;40.78176321;-73.96988088
907;40.78176321;-73.9698711
2115;40.78172506;-73.96994096
634;40.78165258;-73.96994096
2116;40.78174414;-73.96974092
782;40.78173269;-73.96975094
630;40.7816831;-73.97000104
631;40.78162207;-73.96999102
311;40.78162207;-73.97002107
1499;40.78146185;-73.97040087
635;40.78145422;-73.97043091
640;40.781294;-73.97076088
1653;40.7810346;-73.97100097
666;40.78101553;-73.97102099
562;40.78094305;-73.97115093
668;40.78084387;-73.97121101
111;40.78084387;-73.97128087
1567;40.78083242;-73.97106105
2000;40.78071417;-73.9709509
1572;40.78063406;-73.97070104
1622;40.78047384;-73.97066098
2117;40.78045477;-73.97058087
2118;40.78037466;-73.9706009
570;40.78029455;-73.97044092
2119;40.78032507;-73.97036105
673;40.78040518;-73.97035104
475;40.78043188;-73.97028094
2120;40.78042425;-73.97006088
1888;40.78047384;-73.97001105
861;40.78054251;-73.97038108
1858;40.78047384;-73.96984106
675;40.78040518;-73.96978098
889;40.78048529;-73.96953088
1012;40.78045477;-73.96949106
702;40.78051199;-73.96938091
1015;40.78048529;-73.96930104
1246;40.78042425;-73.96919089
2121;40.78044333;-73.96917086
942;40.78047384;-73.96916109
1016;40.78041281;-73.96887093
1625;40.7805654;-73.9686411
2122;40.78061499;-73.96858102
1687;40.78063406;-73.96861106
2123;40.78088202;-73.96806103
1446;40.78088202;-73.968041
58;40.78121389;-73.96726089
940;40.78125204;-73.96708089
757;40.78124441;-73.96721106
214;40.78123297;-73.96713096
1117;40.78133215;-73.96701103
1631;40.78133215;-73.96675092
65;40.78141226;-73.96638089
1719;40.7819425;-73.96582108
2125;40.78214468;-73.96522098
289;40.7835523;-73.96679097
1290;40.78358282;-73.96682101
1522;40.78318228;-73.96737104
1294;40.78312506;-73.96747094
1035;40.78313269;-73.96758109
970;40.78299536;-73.9677611
441;40.78240408;-73.96871096
609;40.78240408;-73.96883088
1048;40.78229345;-73.96900087
1601;40.78227438;-73.96904093
304;40.78210272;-73.96931106
1160;40.78210272;-73.96931106
2108;40.78209509;-73.96926099
1309;40.7820455;-73.96943098
1812;40.78203405;-73.96944099
148;40.78195395;-73.96953088
519;40.78203405;-73.9693709
2126;40.78200354;-73.96939093
552;40.78185476;-73.96936088
553;40.78185476;-73.9695211
554;40.78178228;-73.96975094
2074;40.78176321;-73.96977096
802;40.78171362;-73.96998101
2116;40.7816831;-73.97000104
1397;40.78157248;-73.97002107
630;40.78167547;-73.97000104
631;40.78166403;-73.97008091
1479;40.78162207;-73.97011095
640;40.78126349;-73.97079092
811;40.7811643;-73.97078091
319;40.78120245;-73.97093087
562;40.78100409;-73.97104102
1482;40.78089346;-73.9713009
258;40.7809049;-73.97105103
1178;40.7809049;-73.9709211
2127;40.78089346;-73.97088104
668;40.78084387;-73.97109109
1818;40.7807218;-73.97089105
1326;40.7805921;-73.97080093
1621;40.78051199;-73.97065097
477;40.78048529;-73.97055107
2128;40.78051199;-73.97051102
1683;40.78036322;-73.97049099
2119;40.78029455;-73.97045093
1920;40.78039373;-73.9702509
571;40.78035177;-73.97026091
674;40.78050436;-73.96999102
80;40.78043188;-73.96989089
932;40.78043188;-73.96939093
957;40.78047384;-73.96901089
1016;40.78047384;-73.96883088
1625;40.78052343;-73.96873098
2129;40.78087439;-73.9681409
875;40.78081335;-73.9679411
527;40.78091253;-73.96786099
137;40.78107275;-73.96763092
2130;40.78105368;-73.96721106
58;40.78119482;-73.96731096
1579;40.7811643;-73.96739107
1667;40.78149237;-73.96650105
1350;40.78186239;-73.96584087
2131;40.78367437;-73.96672088
