"lat";"long";"accuracy";"formatted_address";"index";"tipo";"default"
"-30.1046208";"-51.2377932";"street_address";"Av. Otto Niemeyer, 2157 - Tristeza, Porto Alegre - RS, 91910-001, Brazil";1;"LOJA DE MOVEIS USADOS";"AV OTTO NIEMEYER, 2157"
"-30.0185566";"-51.2023414";"street_address";"R. Félix da Cunha, 637 - Floresta, Porto Alegre - RS, 90570-001, Brazil";2;"COSMETICOS E OU PRODUTOS PARA SALAO DE BELEZA";"R FELIX DA CUNHA, 637"
"-30.0850172";"-51.2164159";"street_address";"R. Cangussu, 79 - Nonoai, Porto Alegre - RS, 90830-010, Brazil";3;"ARTIGOS SANITARIOS/MATERIAL DE CONSTRUCAO";"R CANGUSSU, 79"
NA;NA;NA;"R GUADALAJARA 1040 JAR ITU SABARA Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";4;"ACOUGUE";"R GUADALAJARA, 1040"
"-30.054189";"-51.2038394";"street_address";"R. Dr. Voltaire Pires, 93 - Santo Antônio, Porto Alegre - RS, 90640-160, Brazil";5;"MINI-MERCADO";"R DR VOLTAIRE PIRES, 93"
"-30.0006929";"-51.160356";"street_address";"R. Dr. Carlos Walau, 75 - Jardim Floresta, Porto Alegre - RS, 91040-633, Brazil";6;"ARMAZEM";"R DR CARLOS WALAU, 75"
"-30.0630112";"-51.1765215";"street_address";"R. Ângelo Barcelos, 85 - Vila Joao Pessoa, Porto Alegre - RS, 91510-090, Brazil";7;"FLORICULTURAS (CULTIVO  E COMERCIO DE ACESSORIOS  PARA JARDIM)";"R ANGELO BARCELOS, 85"
"-30.0114625";"-51.1665073";"street_address";"Av. Assis Brasil, 2100 - Passo d'Areia, Porto Alegre - RS, 91010-002, Brazil";8;"RESTAURANTE";"AV ASSIS BRASIL, 2100/27"
NA;NA;NA;"R VINTE SEIS DE DEZEMBRO 668 SAO JOSE Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";9;"MINI-MERCADO";"R VINTE SEIS DE DEZEMBRO, 668"
"-30.0849168";"-51.1907636";"street_address";"R. Prof. Oscar Pereira, 4434 - Glória, Porto Alegre - RS, Brazil";10;"ARMAZEM";"AV PROF OSCAR PEREIRA, 4434"
NA;NA;NA;"AV PROTASIO ALVES 8830/128 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";11;"ARTIGOS RELIGIOSOS";"AV PROTASIO ALVES, 8830/128"
"-30.0623807";"-51.1748176";"street_address";"R. Juarez Távora, 31 - Vila Joao Pessoa, Porto Alegre - RS, 91520-100, Brazil";12;"PAPELARIA";"R JUAREZ TAVORA, 31"
"-30.0475264";"-51.1856241";"premise";"R. Barão do Amazonas, 440. - Petrópolis, Porto Alegre - RS, 90670-000, Brazil";13;"LIVRARIA";"R BARAO DO AMAZONAS, 440"
"-30.0902448";"-51.2302042";"street_address";"R. Xavier da Cunha, 460 - Nonoai, Porto Alegre - RS, 90830-430, Brazil";14;"ARMAZEM";"R XAVIER DA CUNHA, 460"
"-30.0194799";"-51.1644095";"street_address";"R. Gen. Pedro Bitencourt, 25 - Passo d'Areia, Porto Alegre - RS, 91340-050, Brazil";15;"LOJA DE COLCHOES";"R GEN PEDRO BITTENCOURT, 25/5"
"-30.0233753";"-51.2159797";"street_address";"R. Voluntários da Pátria, 1201 - Centro Histórico, Porto Alegre - RS, Brazil";16;"PECAS E ACESSORIOS PARA VEICULOS";"R VOLUNTARIOS DA PATRIA, 1201"
"-30.0402429";"-51.2095416";"street_address";"Av. Jerônimo de Ornelas, 596 - Santana, Porto Alegre - RS, 90040-340, Brazil";17;"JORNAIS E REVISTAS";"AV JERONIMO DE ORNELAS, 596"
"-30.0679518";"-51.2022214";"street_address";"R. Martim Minaberry, 112 - Partenon, Porto Alegre - RS, 90660-160, Brazil";18;"ARMAZEM";"R MARTIM MINABERRY, 112"
"-30.0281315";"-51.2248061";"street_address";"Rua Doutor Flores, 105 - Centro Histórico, Porto Alegre - RS, Brazil";19;"LOJA DE MATERIAL ODONTOLOGICO";"R DR FLORES, 105/510"
"-30.0421112";"-51.2216743";"street_address";"R. Joaquim Nabuco, 315 - Cidade Baixa, Porto Alegre - RS, 90050-340, Brazil";20;"FERRAGEM";"R JOAQUIM NABUCO, 315"
"-30.10695";"-51.2364109";"street_address";"R. Dr. Pereira Neto, 1577 - Camaquã, Porto Alegre - RS, 91920-530, Brazil";21;"COMERCIO DE ESQUADRIAS EM GERAL, DE QUALQUER MATE-RIAL";"R DR PEREIRA NETO, 1577"
"-30.072012";"-51.203901";"street_address";"R. Prof. Oscar Pereira, 2451 - Glória, Porto Alegre - RS, 91710-000, Brazil";22;"ELETRODOMESTICOS";"AV PROF OSCAR PEREIRA, 2451"
"-30.0253899";"-51.1966878";"premise";"R. Cel. Bordini, 841 - Auxiliadora, Porto Alegre - RS, 90440-001, Brazil";23;"PECAS E ACESSORIOS PARA VEICULOS";"R CEL BORDINI, 841"
"-30.0661319";"-51.2060911";"street_address";"R. Prof. Oscar Pereira, 1761 - Glória, Porto Alegre - RS, 90660-080, Brazil";24;"VEICULOS";"AV PROF OSCAR PEREIRA, 1761"
"-30.0076885";"-51.1933458";"street_address";"Av. Brasil, 1435 - Navegantes, Porto Alegre - RS, 90230-060, Brazil";25;"LOJA DE MOVEIS";"AV BRASIL, 1435"
"-30.0109843";"-51.2042031";"street_address";"Av. Pres. Franklin Roosevelt, 1285 - São Geraldo, Porto Alegre - RS, Brazil";26;"LOJA DE MOVEIS";"AV PRESIDENTE FRANKLIN ROOSEVELT, 1285"
"-30.0449052";"-51.2224082";"street_address";"R. Barão do Gravataí, 659 - Menino Deus, Porto Alegre - RS, 90050-330, Brazil";27;"BAR/CAFE/LANCHERIA";"R BARAO DO GRAVATAI, 659"
"-30.0250095";"-51.1622202";"street_address";"Av. João Wallig, 1800 - Passo d'Areia, Porto Alegre - RS, Brazil";28;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"AV JOAO WALLIG, 1800/167"
"-30.0185373";"-51.1980048";"street_address";"R. Quintino Bocaiúva, 59 - São João, Porto Alegre - RS, Brazil";29;"FLORICULTURAS (CULTIVO  E COMERCIO DE ACESSORIOS  PARA JARDIM)";"R QUINTINO BOCAIUVA, 59"
"-30.0098082";"-51.2012267";"street_address";"Av. Pernambuco, 1935 - Navegantes, Porto Alegre - RS, 90240-003, Brazil";30;"BAR/CAFE/LANCHERIA";"AV PERNAMBUCO, 1935"
"-30.0153068";"-51.1107299";"street_address";"Av. Baltazar de Oliveira Garcia, 3492 - Sao Sebastiao, Porto Alegre - RS, Brazil";31;"ARTIGOS DO VESTUARIO";"AV BALTAZAR DE OLIVEIRA GARCIA, 3492/2"
"-30.0068956";"-51.1911812";"street_address";"Av. Benjamin Constant, 571 - São João, Porto Alegre - RS, 90550-003, Brazil";32;"MINI-MERCADO";"AV BENJAMIN CONSTANT, 571"
"-29.985885";"-51.19193";"street_address";"R. Lima Barreto, 22 - Humaitá, Porto Alegre - RS, 90245-340, Brazil";33;"MINI-MERCADO";"R LIMA BARRETO, 22/9"
"-29.985885";"-51.19193";"street_address";"R. Lima Barreto, 22 - Humaitá, Porto Alegre - RS, 90245-340, Brazil";34;"BAR/CAFE/LANCHERIA";"R LIMA BARRETO, 22/8"
"-30.0114625";"-51.1665073";"street_address";"Av. Assis Brasil, 2100 - Passo d'Areia, Porto Alegre - RS, 91010-002, Brazil";35;"ARTIGOS DO VESTUARIO";"AV ASSIS BRASIL, 2100/4"
"-30.0038865";"-51.1358711";"street_address";"Av. Assis Brasil, 5255 - Passo d'Areia, Porto Alegre - RS, Brazil";36;"MATERIAL ELETRICO";"AV ASSIS BRASIL, 5255/2"
"-30.0259457";"-51.1932499";"street_address";"Av. Mariland, 1262 - São João, Porto Alegre - RS, 90440-190, Brazil";37;"MINI-MERCADO";"AV MARILAND, 1262"
"-30.0259778";"-51.193241";"street_address";"Av. Mariland, 1266 - São João, Porto Alegre - RS, 90440-190, Brazil";38;"MINI-MERCADO";"AV MARILAND, 1266"
"-29.9997672";"-51.1996526";"street_address";"Av. Sertório, 592 - Navegantes, Porto Alegre - RS, Brazil";39;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"AV SERTORIO, 592"
"-30.0104074";"-51.1709367";"premise";"Av. Assis Brasil, 1601 - Passo d'Areia, Porto Alegre - RS, 91010-004, Brazil";40;"BAZAR";"AV ASSIS BRASIL, 1601"
"-30.0536937";"-51.2001922";"street_address";"Rua Luiz de Camões, 585 - Santana, Porto Alegre - RS, 90620-150, Brazil";41;"LOJA DE MOVEIS";"R LUIZ DE CAMOES, 585/104"
"-30.063508";"-51.1681691";"establishment";"R. Saldanha da Gama, 256 - Loja 256 - São José, Porto Alegre - RS, 91520-630, Brazil";42;"ARMAZEM";"R SALDANHA DA GAMA, 668"
"-30.060133";"-51.1912486";"street_address";"Av. Bento Gonçalves, 2342 - Partenon, Porto Alegre - RS, 90650-001, Brazil";43;"VIDRACARIAS";"AV BENTO GONCALVES, 2342"
NA;NA;NA;"R PROF AMY HERVE RAMIREZ 183 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";44;"LOJA DE VARIEDADES (VESTUARIO, CALCADOS, BRINQUEDOARMARINHOS, BIJOUTERIAS EM PEQUENO ESTOQUE";"R PROF AMY HERVE RAMIREZ, 183"
NA;NA;NA;"R PONCHE VERDE-LOMBA DO PINHEIRO 412 LOMBA PINHEIRO Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";45;"BAR/CAFE/LANCHERIA";"R PONCHE VERDE-LOMBA DO PINHEIRO, 412"
"-30.0790169";"-51.2252199";"route";"R. Cruzeiro do Sul, Porto Alegre - RS, Brazil";46;"PADARIA";"R CRUZEIRO DO SUL, 475"
"-30.098902";"-51.23182";"street_address";"Rua Stephan Zweig, 30 - Cavalhada, Porto Alegre - RS, 91910-470, Brazil";47;"JORNAIS E REVISTAS";"R STEPHAN ZWEIG, 30"
"-30.0332469";"-51.2261976";"street_address";"R. Vig. José Inácio, 843 - Centro Histórico, Porto Alegre - RS, 90020-110, Brazil";48;"PERFUMARIA";"R VIGARIO JOSE IGNACIO, 843"
NA;NA;NA;"LE PERCORRENDO BAIRROS - SMIC 1 - Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";49;"DOCES E SALGADINHOS INDUSTRIALIZADOS";"LE PERCORRENDO BAIRROS - SMIC, 1"
"-30.0446958";"-51.1563979";"street_address";"R. São Vicente de Paula, 99 - Bom Jesus, Porto Alegre - RS, 91420-290, Brazil";50;"MINI-MERCADO";"R SAO VICENTE DE PAULA, 99/3"
"-30.0022593";"-51.133945";"street_address";"Av. Assis Brasil, 5493 - Passo d'Areia, Porto Alegre - RS, 91010-004, Brazil";51;"MATERIAL DE CONSTRUCAO";"AV ASSIS BRASIL, 5493"
"-30.040824";"-51.1577025";"street_address";"Av. Protásio Alves, 5380 - Alto Petrópolis, Porto Alegre - RS, Brazil";52;"PECAS E ACESSORIOS PARA VEICULOS";"AV PROTASIO ALVES, 5380"
"-30.0262208";"-51.212016";"street_address";"Av. Cristóvão Colombo, 545 - Floresta, Porto Alegre - RS, 90560-003, Brazil";53;"ARTIGOS DO VESTUARIO";"AV CRISTOVAO COLOMBO, 545/1085"
"-30.02594";"-51.162916";"establishment";"Av. João Wallig, 1800 - Iguatemi Porto Alegre - Passo d'Areia, Porto Alegre - RS, 91340-001, Brazil";54;"LOJA DE VARIEDADES (VESTUARIO, CALCADOS, BRINQUEDOARMARINHOS, BIJOUTERIAS EM PEQUENO ESTOQUE";"AV JOAO WALLIG, 1800/120"
"-30.0305192";"-51.2282956";"street_address";"Tv. Eng. Acilino de Carvalho, 30 - Centro Histórico, Porto Alegre - RS, 90010-200, Brazil";55;"COSMETICOS E OU PRODUTOS PARA SALAO DE BELEZA";"TRAV ENG ACILINO CARVALHO, 30/32"
"-30.030701";"-51.2270929";"street_address";"Av. Mal. Floriano Peixoto, 201 - Centro Histórico, Porto Alegre - RS, Brazil";56;"ARTIGOS LOTERICOS";"R MARECHAL FLORIANO PEIXOTO, 201"
"-30.0121865";"-51.1673994";"street_address";"Av. Assis Brasil, 2005 - Passo d'Areia, Porto Alegre - RS, Brazil";57;"ARTIGOS DO VESTUARIO";"AV ASSIS BRASIL, 2005/38"
"-30.0276222";"-51.2145664";"street_address";"R. Santo Antonio, 277 - Floresta, Porto Alegre - RS, 90220-010, Brazil";58;"LOJA DE MATERIAL ODONTOLOGICO";"R SANTO ANTONIO, 277/502"
"-30.041207";"-51.221611";"street_address";"R. José do Patrocínio, 760 - Cidade Baixa, Porto Alegre - RS, 90050-000, Brazil";59;"BAR/CAFE/LANCHERIA";"R JOSE DO PATROCINIO, 760"
"-30.0101729";"-51.1839693";"street_address";"R. Luzitana, 216 - Higienópolis, Porto Alegre - RS, 90520-080, Brazil";60;"MAQUINAS,APARELHOS,EQUIPAMENTOS DIVERSOS";"R LUZITANA, 216"
"-30.0111381";"-51.1520196";"street_address";"R. Zéca Neto, 66 - Cristo Redentor, Porto Alegre - RS, 91370-100, Brazil";61;"PECAS E ACESSORIOS PARA VEICULOS";"R ZECA NETO, 66/2"
NA;NA;NA;"R TEN ARY TARRAGO 3325/1 ZONA INDEFIN. 3 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";62;"SUPRIMENTO P/ COMPUTADORES E MATERIAIS INFORMATICA";"R TEN ARY TARRAGO, 3325/1"
"-30.0590558";"-51.1656253";"street_address";"R. Albion, 316 - Partenon, Porto Alegre - RS, 91530-040, Brazil";63;"FERRAGEM";"R ALBION, 316"
"-30.0386209";"-51.1592726";"street_address";"Praça Dr. Lopes Trovão, 8 - Chácara das Pedras, Porto Alegre - RS, 91330-220, Brazil";64;"RESTAURANTE";"PCA DR LOPES TROVAO, 8"
"-30.0296466";"-51.224599";"establishment";"Rua Doutor Flores, 262 - Centro Histórico, Porto Alegre - RS, 90120-020, Brazil";65;"LIVRARIA";"R DR FLORES, 262/25"
"-30.0617931";"-51.1728363";"street_address";"Av. Bento Gonçalves, 4321 - Partenon, Porto Alegre - RS, 90650-002, Brazil";66;"LIVRARIA";"AV BENTO GONCALVES, 4321"
"-30.0224955";"-51.2112223";"premise";"R. Ramiro Barcelos, 386 - Floresta, Porto Alegre - RS, 90035-004, Brazil";67;"LIVRARIA";"R RAMIRO BARCELOS, 386"
"-30.0393583";"-51.197076";"premise";"R. Santa Cecília, 1875 - Santana, Porto Alegre - RS, 90420-040, Brazil";68;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"R SANTA CECILIA, 1875"
"-30.07398";"-51.2029595";"street_address";"R. Prof. Oscar Pereira, 2685 - Glória, Porto Alegre - RS, Brazil";69;"PECAS E ACESSORIOS PARA VEICULOS";"AV PROF OSCAR PEREIRA, 2685"
"-30.0645358";"-51.1566198";"street_address";"Av. Bento Gonçalves, 5922 - Partenon, Porto Alegre - RS, 91540-000, Brazil";70;"VEICULOS";"AV BENTO GONCALVES, 5922"
"-30.112238";"-51.248106";"street_address";"R. Dr. Mário Totta, 1252 - Tristeza, Porto Alegre - RS, 91920-130, Brazil";71;"BAR/CAFE/LANCHERIA";"R DR MARIO TOTTA, 1252"
"-30.0584464";"-51.2009581";"street_address";"R. Paulino Chaves, 262 - Santo Antônio, Porto Alegre - RS, Brazil";72;"BAR/CAFE/LANCHERIA";"R PAULINO CHAVES, 262"
"-30.039955";"-51.202436";"street_address";"R. Dr. Alcídes Cruz, 125 - Santa Cecilia, Porto Alegre - RS, 90630-160, Brazil";73;"BAR/CAFE/LANCHERIA";"R DR ALCIDES CRUZ, 125"
"-30.0755606";"-51.2012876";"street_address";"R. Prof. Oscar Pereira, 2884 - Glória, Porto Alegre - RS, Brazil";74;"PECAS E ACESSORIOS PARA BICICLETAS,CICLOMOTORES E MOTOS";"AV PROF OSCAR PEREIRA, 2884"
"-30.0100376";"-51.1906304";"street_address";"R. Carlos Von Koseritz, 287 - São João, Porto Alegre - RS, 90540-030, Brazil";75;"BAR/CAFE";"R CARLOS VON KOSERITZ, 287"
"-30.0143043";"-51.2081212";"street_address";"R. Alm. Tamandaré, 355 - Floresta, Porto Alegre - RS, 90220-030, Brazil";76;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"R ALMIRANTE TAMANDARE, 355"
"-30.0492337";"-51.2139869";"street_address";"R. Prof. Freitas e Castro, 311 - Azenha, Porto Alegre - RS, 90040-400, Brazil";77;"PECAS E ACESSORIOS PARA VEICULOS";"R PROF FREITAS E CASTRO, 311"
"-30.097656";"-51.2307499";"street_address";"Av. da Cavalhada, 2360 - Cavalhada, Porto Alegre - RS, 91740-000, Brazil";78;"ARMARINHOS/BIJUTERIAS";"AV CAVALHADA, 2360/117"
"-30.0372459";"-51.2087548";"street_address";"Av. Osvaldo Aranha, 1407 - Bom Fim, Porto Alegre - RS, 90035-191, Brazil";79;"PAPELARIA";"AV OSVALDO ARANHA, 1407/11"
"-30.0444391";"-51.1573122";"street_address";"R. São Vicente de Paula, 33 - Bom Jesus, Porto Alegre - RS, 91420-290, Brazil";80;"MATERIAL DE CONSTRUCAO";"R SAO VICENTE DE PAULA, 33"
"-29.9946174";"-51.1302931";"street_address";"Av. Assis Brasil, 6410 - Sarandi, Porto Alegre - RS, 91140-000, Brazil";81;"PAPELARIA";"AV ASSIS BRASIL, 6410/15"
"-30.0387468";"-51.1749755";"street_address";"Av. Protásio Alves, 3597 - Alto Petrópolis, Porto Alegre - RS, 90410-004, Brazil";82;"BAR/CAFE";"AV PROTASIO ALVES, 3597"
"-30.0067788";"-51.1843272";"street_address";"Av. Assis Brasil, 200 - São João, Porto Alegre - RS, 90520-080, Brazil";83;"TABACARIA/REVISTAS";"AV ASSIS BRASIL, 200/8"
"-30.0503234";"-51.2141941";"street_address";"R. Marcílio Dias, 1490 - Azenha, Porto Alegre - RS, 90130-000, Brazil";84;"ARTIGOS RELIGIOSOS";"R MARCILIO DIAS, 1490"
"-30.0922269";"-51.1309742";"establishment";"Estr. João de Oliveira Remião, 1787 - Lomba do Pinheiro, Porto Alegre - RS, 91550-000, Brazil";85;"MINI-MERCADO";"ESTR JOAO DE OLIVEIRA REMIAO, 4360"
"-30.0637248";"-51.1588947";"street_address";"Av. Bento Gonçalves, 5720 - Partenon, Porto Alegre - RS, 90650-001, Brazil";86;"LOJA DE MOVEIS";"AV BENTO GONCALVES, 5720"
"-30.082536";"-51.194565";"street_address";"R. Martins de Carvalho, 20 - Cascata, Porto Alegre - RS, 91710-520, Brazil";87;"ARTIGOS DO VESTUARIO";"R MARTINS DE CARVALHO, 20"
"-30.0460757";"-51.2235113";"street_address";"R. Cel. André Belo, 560 - Menino Deus, Porto Alegre - RS, 90110-020, Brazil";88;"INSTRUMENTOS MEDICO HOSPITALARES/MATERIAL ODONTO- LOGICO,APARELHOS ORTOPEDICOS,AUDITIVOS E EQUIPA-  MENTOS CIENTIFICOS E DE LABORATORIO";"R CEL ANDRE BELO, 560"
"-30.0251439";"-51.2227353";"establishment";"Av. Júlio de Castilhos, 435 - Centro, Porto Alegre - RS, 90030-131, Brazil";89;"CALCADOS/ARTEFATOS DE COURO";"AV JULIO DE CASTILHOS, 171/46"
"-30.0134873";"-51.1525974";"premise";"Av. do Forte, 336 - Vila Ipiranga, Porto Alegre - RS, 91360-000, Brazil";90;"BAR/CAFE/LANCHERIA";"AV FORTE, 336"
NA;NA;NA;"TRAV CHATEAUBRIAND 43 ZONA INDEFIN. 3 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";91;"ACOUGUE";"TRAV CHATEAUBRIAND, 43"
"-30.0617551";"-51.1847961";"street_address";"R. Dr. Salvador França, 201 - Jardim Botânico, Porto Alegre - RS, Brazil";92;"BAR/CAFE/LANCHERIA";"R DR SALVADOR FRANCA, 201/1"
"-30.2108639";"-51.1820563";"street_address";"R. Dr. Cecílio Monza, 11029 - Belém Novo, Porto Alegre - RS, 91780-060, Brazil";93;"JOALHERIA";"R DR CECILIO MONZA, 11029"
"-30.0260583";"-51.2245683";"street_address";"Praça Rui Barbosa, 220 - Centro Histórico, Porto Alegre - RS, 90030-100, Brazil";94;"SUPRIMENTO P/ COMPUTADORES E MATERIAIS INFORMATICA";"PCA RUI BARBOSA, 220/42"
"-30.1075706";"-51.2478424";"street_address";"Av. Otto Niemeyer, 1128 - Tristeza, Porto Alegre - RS, 91910-001, Brazil";95;"LOJA DE COMPONENTES ELETRONICOS";"AV OTTO NIEMEYER, 1128/101"
"-30.0269483";"-51.1809828";"street_address";"Rua Furriel Luíz Antônio de Vargas, 400 - Bela Vista, Porto Alegre - RS, 90470-130, Brazil";96;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"R FURRIEL LUIZ ANTONIO DE VARGAS, 400"
"-30.009786";"-51.1519262";"street_address";"Av. Assis Brasil, 3522 - Jardim Lindoia, Porto Alegre - RS, 91010-003, Brazil";97;"LANCHERIA";"AV ASSIS BRASIL, 3522/220"
"-30.033324";"-51.2238808";"street_address";"Tv. Tuyuty, 10 - Centro Histórico, Porto Alegre - RS, 90050-270, Brazil";98;"ARTIGOS LOTERICOS";"TRAV TUYUTY, 10/4"
"-29.9865079";"-51.1353226";"street_address";"Rua Figueiredo Mascarenhas, 45 - Sarandi, Porto Alegre - RS, 91120-120, Brazil";99;"FERRAGEM";"R FIGUEIREDO MASCARENHAS, 45"
"-30.0373784";"-51.2335355";"route";"Av. Loureiro da Silva, Porto Alegre - RS, Brazil";100;"MERCADAO DO PRODUTOR RAMO 5";"AV LOUREIRO DA SILVA, 1"
"-30.1376423";"-51.2203744";"street_address";"Av. Eduardo Prado, 2171 - Ipanema, Porto Alegre - RS, 91751-000, Brazil";101;"PECAS E ACESSORIOS PARA VEICULOS";"AV EDUARDO PRADO, 2171"
"-30.0616134";"-51.1898123";"premise";"Av. Bento Gonçalves, 2539 - Partenon, Porto Alegre - RS, 90650-003, Brazil";102;"ARTIGOS DO VESTUARIO";"AV BENTO GONCALVES, 2539"
"-29.99457";"-51.097261";"street_address";"R. Silva, 95 - Rubem Berta, Porto Alegre - RS, 91170-650, Brazil";103;"LOJA DE MOTOCICLETAS";"R JOAO ESTEVAO DA SILVA, 95"
"-30.0473776";"-51.2240215";"street_address";"Rua Mucio Teixeira, 313 - Menino Deus, Porto Alegre - RS, 90150-090, Brazil";104;"CAFETERIA";"R MUCIO TEIXEIRA, 313"
NA;NA;NA;"AV JUSCELINO KUBITSCHEK DE OLIVEIRA 1191 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";105;"LANCHERIA";"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 1191"
NA;NA;NA;"LE PERCORRENDO BAIRROS - SMIC 1 - Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";106;"DOCES E SALGADINHOS INDUSTRIALIZADOS";"LE PERCORRENDO BAIRROS - SMIC, 1"
"-30.0909506";"-51.2418061";"street_address";"Av. Icaraí, 1394 - Cristal, Porto Alegre - RS, 90810-000, Brazil";107;"LOJA DE MOVEIS";"AV ICARAI, 1394"
"-30.137222";"-51.220052";"street_address";"Av. Eduardo Prado, 2117 - Cavalhada, Porto Alegre - RS, 91751-000, Brazil";108;"LOJA DE MOVEIS";"AV EDUARDO PRADO, 2117"
