lat;long;formatted_address
-30 0122948;-51 183479;R. Portugal, 417 - Higienópolis, Porto Alegre - RS, 90520-310, Brazil
-30 03794;-51 225382;R. José do Patrocínio, 263 - Cidade Baixa, Porto Alegre - RS, 90050-001, Brazil
-30 1144572;-51 2542843;R. Dr. Mário Totta, 625 - Tristeza, Porto Alegre - RS, 91920-130, Brazil
-30 0304902;-51 2290621;R. Gen. Andrade Neves, 90 - Centro Histórico, Porto Alegre - RS, Brazil
-30 0184643;-51 1905626;Tv. Saúde, 22 - Auxiliadora, Porto Alegre - RS, 90540-090, Brazil
NA;NA;NA
-30 0457871;-51 2054645;R. São Luís, 300 - Santana, Porto Alegre - RS, 90620-170, Brazil
-30 0054467;-51 2021416;Av. Pres. Franklin Roosevelt, 647 - Navegantes, Porto Alegre - RS, 90230-080, Brazil
-30 016078;-51 200261;R. Dr. Timóteo, 108 - Floresta, Porto Alegre - RS, 90570-040, Brazil
-30 0301144;-51 1333589;Rua Tenente Ary Tarragô, 1402 - Jardim Itu-Sabará, Porto Alegre - RS, 91225-001, Brazil
-30 0102017;-51 2035436;Av. São Pedro, 585 - São Geraldo, Porto Alegre - RS, Brazil
-29 9951812;-51 1955716;Av. Pernambuco, 253 - Navegantes, Porto Alegre - RS, 90240-003, Brazil
-30 0314462;-51 2033466;R. Castro Alves, 723 - Rio Branco, Porto Alegre - RS, 90430-131, Brazil
-30 0433153;-51 1857129;Av. Ijuí, 56 - Petrópolis, Porto Alegre - RS, 90460-200, Brazil
-30 0015691;-51 2010774;R. Dr. João Inácio, 526 - Navegantes, Porto Alegre - RS, Brazil
-30 0244155;-51 1871461;R. Carlos Trein Filho, 254 - Mont'Serrat, Porto Alegre - RS, 90450-120, Brazil
-30 0608954;-51 2208;R. José de Alencar, 1073 - Menino Deus, Porto Alegre - RS, 90880-481, Brazil
-30 0304014;-51 2275428;Av. Borges de Medeiros, 446 - Centro Histórico, Porto Alegre - RS, 90020-024, Brazil
-30 040667;-51 178289;Av. Iguaçu, 197 - Petrópolis, Porto Alegre - RS, 90470-430, Brazil
-30 121979;-51 2122715;Vila Nova, Porto Alegre - RS, 91750-200, Brazil
NA;NA;NA
-30 0299742;-51 2258624;R. Vig. José Inácio, 481 - Centro Histórico, Porto Alegre - RS, 90020-100, Brazil
-30 010358;-51 205164;Av. São Paulo, 859 - São Geraldo, Porto Alegre - RS, 90230-160, Brazil
-30 0392583;-51 2017175;R. João Guimarães, 31 - Bom Fim, Porto Alegre - RS, 90630-170, Brazil
-30 0119139;-51 193551;Av. Benjamin Constant, 1130 - São João, Porto Alegre - RS, 90550-003, Brazil
-30 093096;-51 231868;R. Dr. Campos Velho, 1400 - Nonoai, Porto Alegre - RS, 90820-000, Brazil
-30 039739;-51 2231219;R. José do Patrocínio, 548 - Cidade Baixa, Porto Alegre - RS, 90050-002, Brazil
-30 0535277;-51 2219927;Av. Getúlio Vargas, 1000 - Menino Deus, Porto Alegre - RS, 90150-004, Brazil
-30 0207569;-51 2084369;Rua Hoffmann, 583 - Floresta, Porto Alegre - RS, 90220-170, Brazil
-30 0535877;-51 2175798;R. Visc. do Herval, 1092 - Menino Deus, Porto Alegre - RS, 90130-150, Brazil
-30 0263411;-51 2222615;Praça Osvaldo Cruz, 15 - conj. 2806 - Centro Histórico, Porto Alegre - RS, 90245-470, Brazil
-30 0372045;-51 2085582;Av. Osvaldo Aranha, 1439 - Bom Fim, Porto Alegre - RS, 90035-191, Brazil
-30 0283829;-51 2032779;R. Mostardeiro, 392 - Independência, Porto Alegre - RS, 90430-001, Brazil
-30 0263411;-51 2222615;Praça Osvaldo Cruz, 15 - conj. 2806 - Centro Histórico, Porto Alegre - RS, 90245-470, Brazil
-30 0221286;-51 1841801;Av. Carlos Gomes, 20 - Auxiliadora, Porto Alegre - RS, 90550-110, Brazil
-29 9774583;-51 1899012;Av. A. J. Renner, 2333 - Humaitá, Porto Alegre - RS, 90250-000, Brazil
