"lat";"long";"accuracy";"formatted_address";"index";"tipo";"default"
"-30.0598147";"-51.1914468";"street_address";"Av. Bento Gonçalves, 2302 - Partenon, Porto Alegre - RS, 90650-001, Brazil";1;"APARELHOS ELETRONICOS";"AV BENTO GONCALVES, 2302/3"
"-29.9777812";"-51.1759753";"street_address";"Av. José Lutzenberger, 175 - Anchieta, Porto Alegre - RS, 90200-140, Brazil";2;"MATERIAL DE CONSTRUCAO";"AV JOSE LUTZENBERGER, 175"
NA;NA;NA;"AV JUSCELINO KUBITSCHEK DE OLIVEIRA 977 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";3;"FEIRA MODELO GRUPO 2 RAMO 3";"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 977"
"-29.9898182";"-51.1347942";"premise";"R. Domingos de Abreu, 110 - Sarandi, Porto Alegre - RS, 91120-090, Brazil";4;"VIDRACARIAS";"R DOMINGOS DE ABREU, 110"
"-30.0414165";"-51.1512872";"street_address";"Av. Protásio Alves, 6070 - Protásio Alves, Porto Alegre - RS, 91310-001, Brazil";5;"MINI-MERCADO";"AV PROTASIO ALVES, 6070"
"-30.0828908";"-51.2226295";"street_address";"Rua Orfanotrófio, 986 - Nonoai, Porto Alegre - RS, Brazil";6;"OBJETOS EM GERAL";"R ORFANOTROFIO, 986"
"-30.0369244";"-51.2108856";"street_address";"Av. José Bonifácio, 675 - Bom Fim, Porto Alegre - RS, 90040-130, Brazil";7;"FEIRA ECOLOGICA JOSE BONIFACIO";"AV JOSE BONIFACIO, 675"
"-30.0852056";"-51.2456904";"street_address";"Av. Diário de Notícias, 300 - Cristal, Porto Alegre - RS, Brazil";8;"BRINQUEDOS";"AV DIARIO DE NOTICIAS, 300/2058"
"-29.9824342";"-51.1292224";"street_address";"R. Oliveira Lopes, 1160 - Sarandi, Porto Alegre - RS, 91120-430, Brazil";9;"ARMARINHOS/BIJUTERIAS";"R OLIVEIRA LOPES, 1160"
"-30.0001067";"-51.151311";"street_address";"Av. Panamericana, 1085 - Jardim Lindoia, Porto Alegre - RS, 91050-001, Brazil";10;"LOJA DE MOLDURAS";"AV PANAMERICANA, 1085/2"
"-30.0240067";"-51.2142526";"street_address";"Av. Farrapos, 646 - Floresta, Porto Alegre - RS, 90220-000, Brazil";11;"ELETRODOMESTICOS";"AV FARRAPOS, 646"
"-30.0553524";"-51.147696";"street_address";"Av. Antônio de Carvalho, 1600 - Agronomia, Porto Alegre - RS, Brazil";12;"BAR/CAFE/LANCHERIA";"AV ANTONIO CARVALHO, 1600/2"
"-30.0503383";"-51.2132204";"street_address";"Av. da Azenha, 729 - Azenha, Porto Alegre - RS, 90160-001, Brazil";13;"LANCHERIA";"AV AZENHA, 729"
"-30.0298722";"-51.2256283";"establishment";"R. dos Andradas, 1593 - Centro Histórico, Porto Alegre - RS, 90010-140, Brazil";14;"JORNAIS E REVISTAS";"R ANDRADAS, 1231"
"-30.0262208";"-51.212016";"street_address";"Av. Cristóvão Colombo, 545 - Floresta, Porto Alegre - RS, 90560-003, Brazil";15;"ARTIGOS DO VESTUARIO";"AV CRISTOVAO COLOMBO, 545/1137"
NA;NA;NA;"LE PERCORRENDO BAIRROS - SMIC 1 - Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";16;"DOCES E SALGADINHOS INDUSTRIALIZADOS";"LE PERCORRENDO BAIRROS - SMIC, 1"
"-30.1123691";"-51.2550957";"street_address";"Av. Wenceslau Escobar, 2770 - Vila Conceição, Porto Alegre - RS, Brazil";17;"FARMACIA/DROGARIA SEM MANIPULACAO";"AV WENCESLAU ESCOBAR, 2770/20"
"-30.042631";"-51.225969";"street_address";"R. Baronesa do Gravataí, 204 - Cidade Baixa, Porto Alegre - RS, 90160-070, Brazil";18;"LOJA DE CONFECCOES";"R BARONEZA DO GRAVATAI, 204/1"
"-30.1580972";"-51.2248408";"premise";"R. Criciúma, 115 - Guarujá, Porto Alegre - RS, 91770-240, Brazil";19;"ARMARINHOS/BIJUTERIAS";"R CRICIUMA, 115"
"-30.076825";"-51.160135";"bus_station";"São José, Porto Alegre - RS, 91520-610, Brazil";20;"MINI-MERCADO";"R NOVE DE JUNHO, 136"
"-30.0419462";"-51.1969636";"premise";"R. Dona Eugênia, 835 - Santa Cecilia, Porto Alegre - RS, 90630-150, Brazil";21;"RESTAURANTE";"R DONA EUGENIA, 835"
"-30.043553";"-51.1856241";"street_address";"Av. Protásio Alves, 2342 - Petrópolis, Porto Alegre - RS, 90410-006, Brazil";22;"COSMETICOS E OU PRODUTOS PARA SALAO DE BELEZA";"AV PROTASIO ALVES, 2342"
"-30.0655726";"-51.179669";"premise";"Av. Outeiro, 110 - Cel. Aparicio Borges, Porto Alegre - RS, 91510-050, Brazil";23;"LOJA DE OBJETOS USADOS";"AV OUTEIRO, 110"
NA;NA;NA;"R DR JOSE BENTO CORREA 435/28 ZONA INDEFIN. 4 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";24;"MINI-MERCADO";"R DR JOSE BENTO CORREA, 435/28"
"-30.0088871";"-51.1801695";"street_address";"Av. Assis Brasil, 563 - Passo d'Areia, Porto Alegre - RS, 91010-000, Brazil";25;"BAR/CAFE/LANCHERIA";"AV ASSIS BRASIL, 563/3"
"-30.0688882";"-51.2106811";"street_address";"Av. Niterói, 214 - Medianeira, Porto Alegre - RS, 90160-090, Brazil";26;"ARTIGOS DO VESTUARIO";"AV NITEROI, 214"
"-30.0062468";"-51.1842183";"street_address";"Av. Assis Brasil, 164 - São João, Porto Alegre - RS, 91010-001, Brazil";27;"ARTIGOS DO VESTUARIO";"AV ASSIS BRASIL, 164/43"
"-30.0262208";"-51.212016";"street_address";"Av. Cristóvão Colombo, 545 - Floresta, Porto Alegre - RS, 90560-003, Brazil";28;"ARMARINHOS/BIJUTERIAS";"AV CRISTOVAO COLOMBO, 545/2091"
"-30.0246859";"-51.2024107";"street_address";"R. Padre Chagas, 327 - Moinhos de Vento, Porto Alegre - RS, 90570-080, Brazil";29;"JOALHERIA";"R PADRE CHAGAS, 327/13"
"-30.0432868";"-51.1797879";"street_address";"Rua Maranguapé, 72 - Petrópolis, Porto Alegre - RS, 90690-380, Brazil";30;"PECAS E ACESSORIOS PARA VEICULOS";"R MARANGUAPE, 72/703"
"-30.0790938";"-51.2178537";"street_address";"Rua Orfanotrófio, 363 - Cristal, Porto Alegre - RS, 90840-440, Brazil";31;"ARMARINHOS/BIJUTERIAS";"R ORFANOTROFIO, 363"
NA;NA;NA;"R BALDOINO BOTTINI 489 ZONA INDEFIN. 1 Porto Alegre %26&key=AIzaSyBA2Kt4jMYJe3up70J0Kl48Idrm69K6n0I";32;"MINI-MERCADO";"R BALDOINO BOTTINI, 489"
"-30.0095946";"-51.1922025";"street_address";"R. Felicissimo de Azevedo, 53 - São João, Porto Alegre - RS, 90540-110, Brazil";33;"COSMETICOS E OU PRODUTOS PARA SALAO DE BELEZA";"R FELICISSIMO DE AZEVEDO, 53/705"
"-30.033135";"-51.179568";"street_address";"Av. Soledade, 484 - Petrópolis, Porto Alegre - RS, 90470-340, Brazil";34;"ARTIGOS DO VESTUARIO";"AV SOLEDADE, 484"
"-30.0322316";"-51.2214362";"street_address";"Av. Osvaldo Aranha, 99 - Centro Histórico, Porto Alegre - RS, Brazil";35;"LANCHERIA";"AV OSVALDO ARANHA, 99/613"
"-30.0114901";"-51.1693265";"street_address";"Av. Assis Brasil, 1826 - Passo d'Areia, Porto Alegre - RS, 91010-001, Brazil";36;"ARTIGOS DO VESTUARIO";"AV ASSIS BRASIL, 1826/501"
"-30.0036069";"-51.1427962";"street_address";"R. Pres. Juarez, 530 - São Sebastião, Porto Alegre - RS, 91060-160, Brazil";37;"ARTIGOS DO VESTUARIO";"R PRESIDENTE JUAREZ, 530"
"-30.1355793";"-51.2229193";"premise";"Av. Juca Batista, 152 - Cavalhada, Porto Alegre - RS, 91770-000, Brazil";38;"MATERIAL DE CONSTRUCAO";"AV JUCA BATISTA, 152"
"-30.075301";"-51.2044799";"street_address";"R. Cel. Aparício Borges, 339 - Glória, Porto Alegre - RS, 90680-570, Brazil";39;"PRODUTOS DE HIGIENE PESSOAL";"AV CEL APARICIO BORGES, 339"
"-30.0111725";"-51.2009096";"street_address";"Av. São Pedro, 855 - São Geraldo, Porto Alegre - RS, 90240-550, Brazil";40;"RESTAURANTE E PIZZARIA SEM FORNO A LENHA";"AV SAO PEDRO, 855"
