"lat";"long";"accuracy";"formatted_address";"index";"tipo";"default"
"-30.0290139";"-51.2004117";"street_address";"Largo Caixeiros Viajantes, 24 - Rio Branco, Porto Alegre - RS, 90430-070, Brazil";1;"SERVICO DE MASSAGEM (MASSAGISTAS, MASSAGEM ESTETI-CA, TERAPEUTICA";"LG CAIXEIROS VIAJANTES, 24/9"
"-30.02181";"-51.200068";"establishment";"R. Dr. TimÛteo, 739 - Moinhos de Vento, Porto Alegre - RS, 90570-041, Brazil";2;"TELE-ENTREGAS";"R DR TIMOTEO, 970"
"-30.0285737";"-51.2061951";"street_address";"R. Mostardeiro, 120 - IndependÍncia, Porto Alegre - RS, 90430-001, Brazil";3;"SALAO DE BELEZA";"R MOSTARDEIRO, 120/16"
"-30.0308141";"-51.2283512";"street_address";"R. Gen. Andrade Neves, 155 - Centro HistÛrico, Porto Alegre - RS, Brazil";4;"SERVICO DE ASSESSORIA, CONSULTORIA, PESQUISA, ANA-LISE E PROMOCOES";"R GEN ANDRADE NEVES, 155/81"
"-30.076284";"-51.173312";"bus_station";"Coronel AparÌcio Borges, Porto Alegre - RS, 91510-350, Brazil";5;"LOCACAO DE MAO-DE-OBRA";"R NUNES COSTA, 933"
"-30.0501403";"-51.2133533";"street_address";"Av. da Azenha, 709 - Azenha, Porto Alegre - RS, 90160-001, Brazil";6;"SALAO DE BELEZA";"AV AZENHA, 709/13"
"-30.0353521";"-51.2085189";"street_address";"R. Ramiro Barcelos, 1839 - Floresta, Porto Alegre - RS, Brazil";7;"SALAO DE BELEZA";"R RAMIRO BARCELOS, 1839"
"-30.0421948";"-51.146689";"route";"Av. Prot·sio Alves, Porto Alegre - RS, Brazil";8;"ACADEMIA DE ENSINO E/OU PRATICA DE GINASTICA";"AV PROTASIO ALVES, 7625"
"-30.0812334";"-51.2101274";"street_address";"Av. Engenheiro Ludolfo Boehl, 205 - TeresÛpolis, Porto Alegre - RS, 91720-150, Brazil";9;"ESCRITORIO DE ARQUITETURA";"AV ENG LUDOLFO BOEHL, 205/405"
"-30.0470334";"-51.2087647";"street_address";"R. Santana, 1013 - Farroupilha, Porto Alegre - RS, 90040-371, Brazil";10;"TINTURARIA E LAVANDERIA";"R SANTANA, 1013"
"-30.0281078";"-51.2186165";"street_address";"Av. Alberto Bins, 789 - IndependÍncia, Porto Alegre - RS, Brazil";11;"ESCRITORIO DE CONTABILIDADE";"AV ALBERTO BINS, 789/304"
"-30.0888197";"-51.240309";"street_address";"R. Curupaiti, 1097 - Cristal, Porto Alegre - RS, 90820-090, Brazil";12;"OFICINA DE REPARACAO DE ARTIGOS DE MADEIRA  E DO  MOBILIARIO (MOVE";"R CURUPAITI, 1097"
"-30.0217289";"-51.192818";"street_address";"R. 24 de Outubro, 1600 - IndependÍncia, Porto Alegre - RS, 90510-001, Brazil";13;"ESTUDIO DE PINTURA,DESENHO E ESCULTURA";"R VINTE QUATRO DE OUTUBRO, 1600/602"
"-30.0072548";"-51.1938795";"street_address";"Av. Cear·, 1309 - S„o Jo„o, Porto Alegre - RS, 90240-511, Brazil";14;"CENTRAL DE SERVICOS DE APOIO AS EMPRESAS";"AV CEARA, 1309/201"
"-30.040254";"-51.211304";"street_address";"R. ViÍira de Castro, 285 - Santana, Porto Alegre - RS, 90040-320, Brazil";15;"ESCRITORIO DE SERVICOS JURIDICOS";"R VIEIRA DE CASTRO, 285/304"
"-30.0388941";"-51.1946884";"street_address";"Av. Cel. Lucas de Oliveira, 1841 - PetrÛpolis, Porto Alegre - RS, Brazil";16;"CONSULTORIO ODONTOLOGICO";"AV CEL LUCAS DE OLIVEIRA, 1841/501"
"-30.064747";"-51.16914";"establishment";"R. Martins de Lima, 350 - S„o JosÈ, Porto Alegre - RS, 91520-000, Brazil";17;"OFICINA DE REPARACAO DE MAQUINAS E APARELHOS ELE- TRICOS OU NAO";"R MARTINS DE LIMA, 467"
"-30.050954";"-51.1877896";"street_address";"R. ItaboraÌ, 570 - Jardim Bot‚nico, Porto Alegre - RS, 90670-030, Brazil";18;"SALAO DE BELEZA";"R ITABORAI, 570"
"-30.1064008";"-51.2440207";"street_address";"Av. Otto Niemeyer, 1536 - Tristeza, Porto Alegre - RS, 91910-001, Brazil";19;"OFICINA-SERRALHERIA";"AV OTTO NIEMEYER, 1536"
"-30.0311917";"-51.2268783";"street_address";"R. Mal. Floriano Peixoto, 280 - Centro HistÛrico, Porto Alegre - RS, 90020-060, Brazil";20;"SALAO DE BELEZA";"R MARECHAL FLORIANO PEIXOTO, 280/12"
"-30.0681882";"-51.21361";"street_address";"Av. Cel. Gast„o Haslocher Mazeron, 604, Porto Alegre - RS, Brazil";21;"PROFISSIONAL AUTONOMO";"AV CEL GASTAO HASLOCHER MAZERON, 604/202"
"-30.0000822";"-51.1334469";"street_address";"Av. Assis Brasil, 5740 - Passo d'Areia, Porto Alegre - RS, Brazil";22;"ESCRITORIO DE SERVICOS DE DESPACHANTE E PROCURADOR";"AV ASSIS BRASIL, 5740"
"-30.0158062";"-51.1501007";"street_address";"R. Alberto Silva, 580 - Cristo Redentor, Porto Alegre - RS, Brazil";23;"ESCRITORIO ADMINISTRATIVO (SEDE ADMINISTRATIVA DE EMPRESA)";"R ALBERTO SILVA, 580"
"-30.0527102";"-51.1832338";"premise";"R. ItaboraÌ, 1090 - Jardim Bot‚nico, Porto Alegre - RS, 90670-030, Brazil";24;"MOTOFRETE";"R ITABORAI, 1090"
"-30.0593049";"-51.2290634";"street_address";"R. JosÈ de Alencar, 286 - Menino Deus, Porto Alegre - RS, 90880-481, Brazil";25;"ESCRITORIO ADMINISTRATIVO (SEDE ADMINISTRATIVA DE EMPRESA)";"R JOSE DE ALENCAR, 286"
"-30.0250095";"-51.1622202";"street_address";"Av. Jo„o Wallig, 1800 - Passo d'Areia, Porto Alegre - RS, Brazil";26;"SALAO DE BELEZA";"AV JOAO WALLIG, 1800/157"
"-30.0527102";"-51.1832338";"premise";"R. ItaboraÌ, 1090 - Jardim Bot‚nico, Porto Alegre - RS, 90670-030, Brazil";27;"MOTOFRETE";"R ITABORAI, 1090"
"-30.0674419";"-51.1653835";"establishment";"R. Santo Alfredo - Partenon, Porto Alegre - RS, 91520-550, Brazil";28;"PROFISSIONAL AUTONOMO";"R SANTO ALFREDO, 822"
"-30.079293";"-51.226056";"street_address";"R. Cruzeiro do Sul, 2027 - Santa Tereza, Porto Alegre - RS, 90840-000, Brazil";29;"SALAO DE BELEZA";"R CRUZEIRO DO SUL, 2027"
"-30.1024155";"-51.2331";"street_address";"Av. Otto Niemeyer, 2658 - Tristeza, Porto Alegre - RS, 91910-001, Brazil";30;"OFICINA DE ASSISTENCIA TECNICA";"AV OTTO NIEMEYER, 2658/8"
"-30.070941";"-51.182256";"bus_station";"Coronel AparÌcio Borges, Porto Alegre - RS, 91510-000, Brazil";31;"PROFISSIONAL AUTONOMO";"R SAO JORGE-CEL APARICIO BORGES, 7"
"-30.1170068";"-51.160919";"street_address";"Estr. do Rinc„o, 580 - BelÈm Velho, Porto Alegre - RS, 91787-380, Brazil";32;"OFICINA-SERRALHERIA";"ESTR RINCAO, 580"
"-30.0280987";"-51.2243278";"street_address";"Rua Doutor Flores, 106 - Centro HistÛrico, Porto Alegre - RS, 90020-120, Brazil";33;"ESCRITORIO DE SERVICOS JURIDICOS";"R DR FLORES, 106/512"
"-30.0372045";"-51.2085582";"street_address";"Av. Osvaldo Aranha, 1439 - Bom Fim, Porto Alegre - RS, 90035-191, Brazil";34;"CONSULTORIO ODONTOLOGICO";"AV OSVALDO ARANHA, 1439/303"
"-30.05602";"-51.215442";"street_address";"R. Germano Hasslocher, 254 - Azenha, Porto Alegre - RS, 90160-050, Brazil";35;"OFICINA DE ASSISTENCIA TECNICA";"R GERMANO HASSLOCHER, 254"
"-30.0090405";"-51.1708243";"street_address";"R. Sorocaba, 178 - Passo d'Areia, Porto Alegre - RS, 90001-970, Brazil";36;"TELE-ENTREGAS";"R SOROCABA, 178/4"
"-29.9893344";"-51.143138";"route";"R. SÈrgio Jungblut Dieterich, Porto Alegre - RS, Brazil";37;"TRANSPORTADORA DE CARGAS URBANAS OU METROPOLITANAS";"R SERGIO JUNGBLUT DIETERICH, 780"
"-30.042949";"-51.22664";"street_address";"R. Miguel Teixeira, 104 - Cidade Baixa, Porto Alegre - RS, 90050-250, Brazil";38;"SERVICO DE SOFTWARE E HARDWARE";"R MIGUEL TEIXEIRA, 104"
"-30.0386613";"-51.2242648";"street_address";"R. JosÈ do PatrocÌnio, 398 - Cidade Baixa, Porto Alegre - RS, 90050-002, Brazil";39;"CYBER CAFE";"R JOSE DO PATROCINIO, 398"
"-30.099785";"-51.232405";"street_address";"R. Dr. Barcelos, 2764 - Cavalhada, Porto Alegre - RS, 91910-251, Brazil";40;"OFICINA DE ASSISTENCIA TECNICA";"R DR BARCELOS, 2764/2"
"-30.0231753";"-51.1911419";"street_address";"R. Felipe Neri, 447 - Auxiliadora, Porto Alegre - RS, 90440-150, Brazil";41;"CONSULTORIO MEDICO";"R FELIPE NERI, 447/504"
"-30.0435905";"-51.1861738";"street_address";"Av. Prot·sio Alves, 2302 - Alto PetrÛpolis, Porto Alegre - RS, Brazil";42;"CONSULTORIO MEDICO";"AV PROTASIO ALVES, 2302/306"
"-30.0112646";"-51.1596425";"doctor";"Centro Comercial Francisco Trein - Rua Carlos Silveira Martins Pacheco, 10 sala 411 - Cristo Redentor, Porto Alegre - RS, 91350-300, Brazil";43;"CONSULTORIO MEDICO";"R CARLOS SILVEIRA MARTINS PACHECO, 10/708"
"-30.0732964";"-51.1922168";"route";"R. S„o Miguel - Cel. Aparicio Borges, Porto Alegre - RS, Brazil";44;"ESCRITORIO";"R SAO MIGUEL, 341"
"-30.0313357";"-51.2162034";"street_address";"Rua Tomaz Flores, 219 - IndependÍncia, Porto Alegre - RS, 90035-201, Brazil";45;"SERVICO DE MASSAGEM (MASSAGISTAS, MASSAGEM ESTETI-CA, TERAPEUTICA";"R TOMAZ FLORES, 219"
"-30.0277692";"-51.2199553";"street_address";"Av. Alberto Bins, 658 - Centro HistÛrico, Porto Alegre - RS, 90030-141, Brazil";46;"CENTRAL DE SERVICOS DE APOIO AS EMPRESAS";"AV ALBERTO BINS, 658/601"
"-30.0233207";"-51.1978084";"street_address";"R. 24 de Outubro, 1100 - Moinhos de Vento, Porto Alegre - RS, 90510-001, Brazil";47;"CONSULTORIO ODONTOLOGICO";"R VINTE QUATRO DE OUTUBRO, 1100/501"
"-30.0057866";"-51.1089725";"street_address";"Rua AloÌsio Olimpio de Mello, 80 - Rubem Berta, Porto Alegre - RS, 91180-430, Brazil";48;"PROFISSIONAL AUTONOMO";"R ALOISIO OLYMPIO DE MELLO, 80/201"
"-30.0852056";"-51.2456904";"street_address";"Av. Di·rio de NotÌcias, 300 - Cristal, Porto Alegre - RS, Brazil";49;"SALAO DE BELEZA";"AV DIARIO DE NOTICIAS, 300/2108"
"-30.1089431";"-51.2275264";"street_address";"R. Liberal, 3435 - Cavalhada, Porto Alegre - RS, 91920-682, Brazil";50;"CHAVEIROS";"R LIBERAL, 3435"
"-30.0126947";"-51.2101062";"street_address";"R. do Parque, 95 - Floresta, Porto Alegre - RS, 90230-200, Brazil";51;"OFICINA DE REPARACAO E MANUTENCAO DE ELETRODOMES- TICOS";"R PARQUE, 95"
"-30.0097852";"-51.1519253";"street_address";"Av. Assis Brasil, 3532 - Jardim Lindoia, Porto Alegre - RS, Brazil";52;"CONSULTORIO MEDICO";"AV ASSIS BRASIL, 3532/801"
"-30.041073";"-51.213958";"street_address";"R. Olavo Bilac, 586 - Santana, Porto Alegre - RS, 90040-310, Brazil";53;"SALAO DE BELEZA";"R OLAVO BILAC, 586"
